PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
130,104180126,,,Inactive,,,DRSC00334,,,,,,,,,31.5,7.74,,,,,56.64,18.41,,,,,6600,6650,,,,,33690
131,104180128,,,Inactive,,,DRSC00336,,,,,,,,,14.56,9.24,,,,,44.32,17.84,,,,,6628,6767,,,,,33689
132,104180129,,,Inactive,,,DRSC00337,,,,,,,,,11.24,27.97,,,,,73.66,85.14,,,,,4367,3683,,,,,33687
133,104180130,,,Inactive,,,DRSC00338,,,,,,,,,10.71,5.45,,,,,26.48,10.06,,,,,747,6606,,,,,5740672
134,104180131,,,Inactive,,,DRSC00339,,,,,,,,,5.46,7.14,,,,,18.53,14.5,,,,,6780,7292,,,,,33668
135,104180133,,,Inactive,,,DRSC00341,,,,,,,,,2.73,2.59,,,,,8.41,4.46,,,,,6780,6797,,,,,
136,104180134,,,Inactive,,,DRSC00342,,,,,,,,,23.48,5.83,,,,,55.28,8.36,,,,,4552,6807,,,,,4379888
137,104180135,,,Inactive,,,DRSC00343,,,,,,,,,7.6,7.14,,,,,23.38,14.89,,,,,6740,6612,,,,,4379888
138,104180136,,,Inactive,,,DRSC00344,,,,,,,,,14.08,8.27,,,,,39.32,14.78,,,,,6384,6385,,,,,
139,104180137,,,Inactive,,,DRSC00345,,,,,,,,,8.15,4.85,,,,,24.67,10.17,,,,,6257,6766,,,,,33685
140,104180138,,,Inactive,,,DRSC00346,,,,,,,,,2.3,7.93,,,,,7.86,14.02,,,,,6259,6485,,,,,33528
141,104180139,,,Inactive,,,DRSC00347,,,,,,,,,3.74,2.71,,,,,9.31,3.92,,,,,6250,6384,,,,,33249
142,104180140,,,Inactive,,,DRSC00348,,,,,,,,,14.2,11.32,,,,,38.63,20.89,,,,,5620,6093,,,,,33384
