PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
96,126496620,53469988,CC1=NC(=CC=C1)C(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,M3F_lib_25,26.675,23.8287,27.7319,28.4642
97,126496621,53469990,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC=CC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,M32_lib_25,120.087,124.258,116.653,119.348
98,126496622,53469992,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CSC=N4.C(=O)(C(F)(F)F)O,Active,100,,M41_lib_25,16.6533,14.2808,18.1231,17.556
99,126496623,53469994,C1CC(C1)(C2=CC=CC=C2)C(=O)NCCN3CCC(CC3)N4C5=CC=CC=C5NC4=O.C(=O)(C(F)(F)F)O,Inactive,0,,M3M_lib_25,126.672,116.73,129.799,133.488
100,126496624,53469996,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC(=C(C=C4)N)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2M_lib_25,72.5942,62.6829,70.587,84.5127
101,126496625,53469998,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=C(C=C(C=C4)N)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2P_lib_25,68.4988,66.1425,66.3255,73.0283
102,126496626,53470000,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=C(C=CC=C4Cl)N.C(=O)(C(F)(F)F)O,Inactive,0,,M35_lib_25,89.2376,70.3594,92.5919,104.762
103,126496627,53470002,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC(=NO4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M3E_lib_25,62.894,55.7364,65.841,67.1047
104,126496628,53470004,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2X_lib_25,138.285,124.709,136.639,153.506
105,126496629,53470006,COC1=CC=CC(=N1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M2W_lib_25,136.946,123.028,136.236,151.575
106,126496630,53470008,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC(=CC=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,M58_lib_25,131.652,126.043,126.085,142.827
107,126496631,53470010,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC=C(O4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M4W_lib_25,132.056,118.328,131.685,146.156
108,126496632,53470012,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=C(C=N4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M4Y_lib_25,124.88,115.567,132.599,126.474
109,126496633,53470014,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=CC=N4)F.C(=O)(C(F)(F)F)O,Inactive,0,,M5H_lib_25,110.392,113.69,111.03,106.456
110,126496634,53470016,CC1=NC(=CC=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,M48_lib_25,122.918,122.023,122.855,123.875
111,126496635,53470018,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC=NC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M4K_lib_25,124.329,120.674,122.765,129.547
