bit,active_count,inactive_count,P_active,P_inactive,enrichment,log_odds
1578,39,56,0.01622296173044925,0.021382206949217258,0.758713157772136,-0.2761314942655722
658,16,23,0.0066555740432612314,0.008781977854142803,0.7578673253354657,-0.27724694119871135
1844,73,105,0.03036605657237937,0.04009163802978236,0.75741621168185,-0.27784235935765367
1511,25,36,0.010399334442595673,0.013745704467353952,0.7565515824699225,-0.2789845623942956
1250,9,13,0.0037437603993344427,0.004963726613211149,0.754223734632747,-0.2820662247077464
35,9,13,0.0037437603993344427,0.004963726613211149,0.754223734632747,-0.2820662247077464
549,9,13,0.0037437603993344427,0.004963726613211149,0.754223734632747,-0.2820662247077464
339,9,13,0.0037437603993344427,0.004963726613211149,0.754223734632747,-0.2820662247077464
871,9,13,0.0037437603993344427,0.004963726613211149,0.754223734632747,-0.2820662247077464
25,73,106,0.03036605657237937,0.040473463153875525,0.750270775740242,-0.2873211032886663
1123,42,61,0.01747088186356073,0.023291332569683087,0.7501022896084223,-0.2875456956069625
1286,11,16,0.004575707154742097,0.0061092019854906456,0.7489860690006312,-0.28903489510300157
223,11,16,0.004575707154742097,0.0061092019854906456,0.7489860690006312,-0.28903489510300157
2035,33,48,0.01372712146422629,0.018327605956471937,0.7489860662614416,-0.28903489876019867
230,44,64,0.018302828618968387,0.024436807941962582,0.748986065919043,-0.2890348992173481
454,50,73,0.020798668885191347,0.02787323405880107,0.7461878613258841,-0.2927778856473026
480,13,19,0.005407653910149751,0.007254677357770141,0.7454024030190163,-0.2938310681441928
1959,26,38,0.010815307820299502,0.014509354715540282,0.7454024012643028,-0.29383107049824136
832,30,44,0.012479201331114808,0.016800305460099276,0.7427960989443495,-0.2973337013424317
452,17,25,0.007071547420965058,0.009545628102329133,0.7408153105355183,-0.30000392829419453
696,17,25,0.007071547420965058,0.009545628102329133,0.7408153105355183,-0.30000392829419453
673,19,28,0.007903494176372712,0.010691103474608629,0.7392589755788646,-0.30210697885708965
1063,40,59,0.016638935108153077,0.022527682321496753,0.7385995104527746,-0.3029994393681525
1884,21,31,0.008735440931780365,0.011836578846888126,0.7380038667403085,-0.30380621490987775
932,86,127,0.03577371048252912,0.048491790759831996,0.7377271482081341,-0.3041812406193256
193,84,125,0.03494176372712146,0.047728140511645666,0.7320998341719533,-0.3118383888396691
1447,59,88,0.02454242928452579,0.03360061092019855,0.7304161632588301,-0.3141408206214335
1627,2,3,0.0008319467554076539,0.001145475372279496,0.7262895413658049,-0.31980652635555407
1196,2,3,0.0008319467554076539,0.001145475372279496,0.7262895413658049,-0.31980652635555407
2002,2,3,0.0008319467554076539,0.001145475372279496,0.7262895413658049,-0.31980652635555407
134,2,3,0.0008319467554076539,0.001145475372279496,0.7262895413658049,-0.31980652635555407
1428,2,3,0.0008319467554076539,0.001145475372279496,0.7262895413658049,-0.31980652635555407
850,4,6,0.0016638935108153079,0.002290950744558992,0.7262895294183439,-0.31980654280555154
1930,4,6,0.0016638935108153079,0.002290950744558992,0.7262895294183439,-0.31980654280555154
7,4,6,0.0016638935108153079,0.002290950744558992,0.7262895294183439,-0.31980654280555154
88,4,6,0.0016638935108153079,0.002290950744558992,0.7262895294183439,-0.31980654280555154
108,10,15,0.004159733777038269,0.0057273768613974796,0.7262895222498668,-0.31980655267555086
1266,10,15,0.004159733777038269,0.0057273768613974796,0.7262895222498668,-0.31980655267555086
988,12,18,0.004991680532445923,0.006872852233676976,0.7262895214533693,-0.31980655377221745
1205,12,18,0.004991680532445923,0.006872852233676976,0.7262895214533693,-0.31980655377221745
1280,12,18,0.004991680532445923,0.006872852233676976,0.7262895214533693,-0.31980655377221745
125,14,21,0.005823627287853577,0.008018327605956471,0.7262895208844427,-0.3198065545555506
1887,20,30,0.008319467554076539,0.011454753722794959,0.7262895198603744,-0.3198065559655507
684,36,54,0.014975041597337771,0.020618556701030927,0.7262895187983777,-0.319806557427773
